ds,yhat,yhat_lower,yhat_upper
2015-01-02,30.38755144765552,20.543055346380946,39.90648858012917
2015-01-05,29.65241291007608,20.22824557268672,39.29334289204014
2015-01-06,29.332545677715967,20.408808166335923,39.86329333561683
2015-01-07,29.007909568616245,19.38524357320323,39.32850922075641
2015-01-08,28.739092611045013,18.732865019453733,38.11673188609837
2015-01-09,28.53084445581044,18.972284672429982,38.29772576054668
2015-01-12,28.215846615781214,17.795230315770013,38.77542578476556
2015-01-13,28.065808115176864,18.248199540267308,37.97430723437091
2015-01-14,27.922000719032766,18.204453670233935,37.47808289555729
2015-01-15,27.84240970534839,18.171886454649098,36.87827572694388
2015-01-16,27.829060194921812,17.464215919340337,37.62553023882209
2015-01-20,28.144015904237914,17.840760492908387,37.79626229032502
2015-01-21,28.181371240666454,18.87192695499445,38.450305334169066
2015-01-22,28.27212898636178,17.840726057686986,37.93557474064167
2015-01-23,28.41593073148703,18.60973626434179,38.81837600643695
2015-01-26,29.063144869025486,19.28752069985705,38.84277101914239
2015-01-27,29.187526545304998,20.104478013630914,39.11002647803384
2015-01-28,29.288332044131604,19.653325340963594,38.800191968574374
2015-01-29,29.420187271616093,19.2987683575175,39.19697935823157
2015-01-30,29.582243322116337,19.465186740865185,39.52944803910642
2015-02-02,30.147034838091685,20.49144801611046,39.8718553222893
2015-02-03,30.19973434790086,20.6476329908814,40.71419050586856
2015-02-04,30.20826080753935,20.855682905816845,39.66421125411506
2015-02-05,30.228560993725587,19.320512664131513,39.50579279608305
2015-02-06,30.261357146236197,20.34181698934608,40.00910608088444
2015-02-09,30.351090852052252,20.195979330984894,39.58483685746329
2015-02-10,30.223548425606676,21.303947505966256,39.75859637976841
2015-02-11,30.04482772155025,19.912272079997205,39.957425223619374
2015-02-12,29.8733747676771,20.082078504092305,39.65875135721546
2015-02-13,29.712455138204405,20.239170844293504,39.21653652229564
2015-02-17,28.93069417219562,19.39312897383659,38.99559241008896
2015-02-18,28.585806531453578,19.06467897021552,38.63379590247594
2015-02-19,28.260560838676984,18.482480713922737,38.369665003041256
2015-02-20,27.96016832177328,17.844337728541827,38.48288902372009
2015-02-23,27.166191464905886,17.4278443190998,36.59192913738693
2015-02-24,26.795166940153614,17.114939906598828,36.33282145838714
2015-02-25,26.403856298167376,16.214671637075575,36.1228489264369
2015-02-26,26.053293804069227,15.706553430830931,35.321776356341005
2015-02-27,25.74887046396799,16.092157979990684,35.97031050404007
2015-03-02,25.067986917391302,15.102084790985776,34.68334113122103
2015-03-03,24.77413586862354,14.288514439362674,34.31064459550992
2015-03-04,24.4779407256992,13.923985612780486,34.165598992324284
2015-03-05,24.238988925463627,15.141038597061508,34.631726065161374
2015-03-06,24.061007013245295,15.272310995810402,33.386206195578836
2015-03-09,23.82907126662707,14.186295896784157,34.19311182164503
2015-03-10,23.7009279895039,14.698493577024278,32.876011456301946
2015-03-11,23.574663161755208,14.204835357195082,33.65904871264649
2015-03-12,23.50751524474483,13.450949447135466,32.99449292082045
2015-03-13,23.50086988445775,12.907017272285916,33.12549402107686
2015-03-16,23.757623902608657,14.158435006547478,33.552089855553966
2015-03-17,23.776977895224732,14.34025126148401,34.06001736924374
2015-03-18,23.787419682889198,14.21665371291271,33.38429460354928
2015-03-19,23.844628458306737,13.833219537283027,33.440535253737
2015-03-20,23.94866262077271,14.406149242131278,34.18020703531555
2015-03-23,24.445981615593226,14.303717652900941,34.30053693589008
2015-03-24,24.513265741784085,15.289080908735677,34.652054791061765
2015-03-25,24.555327385863766,15.295912137360363,34.039995435281455
2015-03-26,24.62815401925512,15.172528760572211,34.44538696258507
2015-03-27,24.732377486026984,14.845971120716806,34.5128137382236
2015-03-30,25.147036458252767,15.27657475971371,34.939975233192115
2015-03-31,25.163177137720936,15.734643766174525,35.48127188257287
2015-04-01,25.14479506588105,15.319714216399861,34.91903475604369
2015-04-02,25.14955671643487,16.195522222841674,35.683026630973174
2015-04-06,25.355258818102975,15.83881606432842,35.609806442892385
2015-04-07,25.29160525901007,15.650183351129204,35.07010171640134
2015-04-08,25.196084452648634,15.500545690767035,35.36886015996104
2015-04-09,25.12778032109129,16.12339843200026,34.95996531320177
2015-04-10,25.09032760634543,14.650887002078667,34.755233514343
2015-04-13,25.104098986591378,15.841436656859406,35.10114934025316
2015-04-14,25.00256879521168,15.264092901483227,34.90857524193253
2015-04-15,24.877691399002885,14.44249084581334,34.712085989907315
2015-04-16,24.788529861442427,15.050191657253166,34.27465663071293
2015-04-17,24.738487903229522,15.78602972054955,34.52268910013314
2015-04-20,24.758974075449334,14.905880731349352,34.08089749831693
2015-04-21,24.67201367816128,14.215580679800667,35.12919207395169
2015-04-22,24.566322140516377,15.08234874936569,34.65273886286979
2015-04-23,24.499913845509923,14.90741596698811,33.929460697519964
2015-04-24,24.475108813970927,14.014289300801584,33.70570566157284
2015-04-27,24.57551424788199,14.119280716132522,34.4241763943069
2015-04-28,24.51329155761391,14.920959966522041,34.82863777693908
2015-04-29,24.42995974184185,14.270358898205382,34.70397077907976
2015-04-30,24.382860900978024,14.286946334517504,34.46982823644021
2015-05-01,24.37379054327054,15.070288621378435,34.12634880479072
2015-05-04,24.497138168572818,14.869591299038154,34.234647838053355
2015-05-05,24.43437423069651,14.152849293831117,34.369562381962474
2015-05-06,24.346763745973337,14.78592423189118,34.40639836511498
2015-05-07,24.29208765115965,14.471287935678559,34.303131243904396
2015-05-08,24.272708537950216,14.900155806956892,34.418309989913496
2015-05-11,24.355886438991465,14.858063711977364,34.04762181372443
