Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
0,2007-10-05,32.76431655883789,35.662949599157145,27.08104249655021,29.246875384178807,855215656
1,2007-10-08,31.087018966674805,33.87165995743675,30.89160471132606,33.87165995743675,126671715
2,2007-10-09,33.20399856567383,33.49711775237022,29.42600566647774,31.103302962377576,116725709
3,2007-10-10,33.51341247558594,34.19736039018004,33.22029320288579,34.067083439975285,67931378
4,2007-10-11,37.25883865356445,39.082698382613444,33.220294950453685,39.082698382613444,106320954
5,2007-10-12,37.01457214355469,38.39875074290959,36.151496959209815,36.47718604141097,99410791
6,2007-10-15,37.50309371948242,38.0079142851918,37.17740474190455,37.7799302339115,41814972
7,2007-10-16,41.3299446105957,41.981327068369936,37.291401644011806,37.55195109316946,138614496
8,2007-10-17,44.55426025390625,45.59646225299983,34.55560542152294,37.128549475348684,204876259
9,2007-10-18,42.990962982177734,48.674238611807915,41.15082075254288,45.27078630817075,146617799
10,2007-10-19,42.84440612792969,44.58684343359814,40.71114019423524,42.01389639773458,110266491
11,2007-10-22,42.27444839477539,43.593487224742226,40.87398288829773,41.98132914560946,72253405
12,2007-10-23,45.28706359863281,45.694174818637215,43.316642643347805,43.316642643347805,74594921
13,2007-10-24,44.58683395385742,46.73638211609753,44.08201338186857,46.24784422621432,63055170
14,2007-10-25,44.489131927490234,45.531338607125114,39.294390048980524,43.07238374085665,34522489
15,2007-10-26,45.8244514465332,46.55725167326047,44.049444685929096,45.2707783971412,62370025
16,2007-10-29,46.75267028808594,47.87629917362315,46.34555901324493,46.573543094131914,43657697
17,2007-10-30,47.79487609863281,49.08134505459429,45.987299418887496,47.38776483077666,79921711
18,2007-10-31,48.7882080078125,49.86298401290943,47.87628086782574,48.03912531549754,44655368
19,2007-11-01,47.69716262817383,50.3678140818401,47.30633849521947,49.99327263121899,50632492
20,2007-11-02,48.56023025512695,48.85335383255955,45.596460043104436,45.971005854837436,32001693
21,2007-11-05,49.553592681884766,50.64465169254148,48.23454960902288,48.52767323684086,38833135
22,2007-11-06,50.204959869384766,53.380426869906486,49.52101224732311,50.4166567859318,81880281
23,2007-11-07,49.472171783447266,51.84969973159113,48.36483005989314,51.133186577498364,33593141
24,2007-11-08,48.62538528442383,49.944428550335246,47.55061321659112,48.20199129829345,27990521
25,2007-11-12,49.797855377197266,50.677217354261884,45.87330067800362,47.15977386344273,35153735
26,2007-11-13,50.98660659790039,52.012525705499094,49.03247328154546,50.64463503451357,43830531
