"date","high","volume","open","low","close","adjClose"
"2024-01-22T14:30:00.000Z",4868.41015625,4297610000,4853.419921875,4844.0498046875,4850.43017578125,4850.43017578125
"2024-01-23T14:30:00.000Z",4866.47998046875,3912800000,4856.7998046875,4844.3701171875,4864.60009765625,4864.60009765625
"2024-01-24T14:30:00.000Z",4903.68017578125,4330030000,4888.56005859375,4865.93994140625,4868.5498046875,4868.5498046875
"2024-01-25T14:30:00.000Z",4898.14990234375,4020430000,4886.66015625,4869.33984375,4894.16015625,4894.16015625
"2024-01-26T14:30:00.000Z",4906.68994140625,3353400000,4888.91015625,4881.47021484375,4890.97021484375,4890.97021484375
"2024-01-29T14:30:00.000Z",4929.31005859375,3525160000,4892.9501953125,4887.39990234375,4927.93017578125,4927.93017578125
"2024-01-30T14:30:00.000Z",4931.08984375,3836130000,4925.89013671875,4916.27001953125,4924.97021484375,4924.97021484375
"2024-01-31T14:30:00.000Z",4906.75,4696120000,4899.18994140625,4845.14990234375,4845.64990234375,4845.64990234375
"2024-02-01T14:30:00.000Z",4906.97021484375,4386090000,4861.10986328125,4853.52001953125,4906.18994140625,4906.18994140625
"2024-02-02T14:30:00.000Z",4975.2900390625,3974350000,4916.06005859375,4907.990234375,4958.60986328125,4958.60986328125
"2024-02-05T14:30:00.000Z",4957.18994140625,4023640000,4957.18994140625,4918.08984375,4942.81005859375,4942.81005859375
"2024-02-06T14:30:00.000Z",4957.77001953125,4440880000,4950.16015625,4934.8798828125,4954.22998046875,4954.22998046875
"2024-02-07T14:30:00.000Z",4999.89013671875,4895590000,4973.0498046875,4969.0498046875,4995.06005859375,4995.06005859375
"2024-02-08T14:30:00.000Z",5000.39990234375,4341860000,4995.16015625,4987.08984375,4997.91015625,4997.91015625
"2024-02-09T14:30:00.000Z",5030.06005859375,3912990000,5004.169921875,5000.33984375,5026.60986328125,5026.60986328125
"2024-02-12T14:30:00.000Z",5048.39013671875,3805740000,5026.830078125,5016.830078125,5021.83984375,5021.83984375
"2024-02-13T14:30:00.000Z",4971.2998046875,4302190000,4967.93994140625,4920.31005859375,4953.169921875,4953.169921875
"2024-02-14T14:30:00.000Z",5002.52001953125,3845600000,4976.43994140625,4956.4501953125,5000.6201171875,5000.6201171875
"2024-02-15T14:30:00.000Z",5032.72021484375,4137970000,5003.14013671875,4999.43994140625,5029.72998046875,5029.72998046875
"2024-02-16T14:30:00.000Z",5038.7001953125,3833270000,5031.1298828125,4999.52001953125,5005.56982421875,5005.56982421875
"2024-02-20T14:30:00.000Z",4993.7099609375,4034880000,4989.31982421875,4955.02001953125,4975.509765625,4975.509765625
"2024-02-21T14:30:00.000Z",4983.2099609375,3788390000,4963.02978515625,4946,4981.7998046875,4981.7998046875
"2024-02-22T14:30:00.000Z",5094.39013671875,4051710000,5038.830078125,5038.830078125,5087.02978515625,5087.02978515625
"2024-02-23T14:30:00.000Z",5111.06005859375,3672790000,5100.919921875,5081.4599609375,5088.7998046875,5088.7998046875
"2024-02-26T14:30:00.000Z",5097.66015625,3683930000,5093,5068.91015625,5069.52978515625,5069.52978515625
"2024-02-27T14:30:00.000Z",5080.68994140625,3925950000,5074.60009765625,5057.2900390625,5078.18017578125,5078.18017578125
"2024-02-28T14:30:00.000Z",5077.3701171875,3789370000,5067.2001953125,5058.35009765625,5069.759765625,5069.759765625
"2024-02-29T14:30:00.000Z",5104.990234375,5219740000,5085.35986328125,5061.89013671875,5096.27001953125,5096.27001953125
"2024-03-01T14:30:00.000Z",5140.330078125,4748110000,5098.509765625,5094.16015625,5137.080078125,5137.080078125
"2024-03-04T14:30:00.000Z",5149.669921875,4758440000,5130.990234375,5127.18017578125,5130.9501953125,5130.9501953125
"2024-03-05T14:30:00.000Z",5114.5400390625,4418410000,5110.52001953125,5056.81982421875,5078.64990234375,5078.64990234375
"2024-03-06T14:30:00.000Z",5127.97021484375,4559050000,5108.02978515625,5092.22021484375,5104.759765625,5104.759765625
"2024-03-07T14:30:00.000Z",5165.6201171875,4137980000,5132.3798828125,5128.2099609375,5157.35986328125,5157.35986328125
"2024-03-08T14:30:00.000Z",5189.259765625,4208870000,5164.4599609375,5117.5,5123.68994140625,5123.68994140625
"2024-03-11T13:30:00.000Z",5124.66015625,3896430000,5111.9599609375,5091.14013671875,5117.93994140625,5117.93994140625
"2024-03-12T13:30:00.000Z",5179.8701171875,4080510000,5134.2998046875,5114.47998046875,5175.27001953125,5175.27001953125
"2024-03-13T13:30:00.000Z",5179.14013671875,4282890000,5173.490234375,5151.8798828125,5165.31005859375,5165.31005859375
"2024-03-14T13:30:00.000Z",5176.85009765625,4687970000,5175.14013671875,5123.2998046875,5150.47998046875,5150.47998046875
"2024-03-15T13:30:00.000Z",5136.85986328125,7753670000,5123.31005859375,5104.35009765625,5117.08984375,5117.08984375
"2024-03-18T13:30:00.000Z",5175.60009765625,4036220000,5154.77001953125,5145.47021484375,5149.419921875,5149.419921875
"2024-03-19T13:30:00.000Z",5180.31005859375,4031760000,5139.08984375,5131.58984375,5178.509765625,5178.509765625
"2024-03-20T13:30:00.000Z",5226.18994140625,4064850000,5181.68994140625,5171.5498046875,5224.6201171875,5224.6201171875
